"","id","normalization","genotype","microbiome","replicate","condition"
"1","abundance_raw_wt_spf_1","raw","wt","spf","1","WT_SPF"
"2","abundance_raw_wt_spf_2","raw","wt","spf","2","WT_SPF"
"3","abundance_raw_aso_spf_1","raw","aso","spf","1","ASO_SPF"
"4","abundance_raw_aso_spf_2","raw","aso","spf","2","ASO_SPF"
"5","abundance_raw_aso_spf_3","raw","aso","spf","3","ASO_SPF"
"6","abundance_raw_wt_spf_3","raw","wt","spf","3","WT_SPF"
"7","abundance_raw_aso_spf_4","raw","aso","spf","4","ASO_SPF"
"8","abundance_raw_wt_spf_4","raw","wt","spf","4","WT_SPF"
"9","abundance_raw_wt_gf_1","raw","wt","gf","1","WT_GF"
"10","abundance_raw_wt_gf_2","raw","wt","gf","2","WT_GF"
"11","abundance_raw_wt_gf_3","raw","wt","gf","3","WT_GF"
"12","abundance_raw_wt_gf_4","raw","wt","gf","4","WT_GF"
"13","abundance_raw_aso_gf_1","raw","aso","gf","1","ASO_GF"
"14","abundance_raw_aso_gf_2","raw","aso","gf","2","ASO_GF"
"15","abundance_raw_aso_gf_3","raw","aso","gf","3","ASO_GF"
"16","abundance_raw_aso_gf_4","raw","aso","gf","4","ASO_GF"
"17","abundance_norm_wt_spf_1","norm","wt","spf","1","WT_SPF"
"18","abundance_norm_wt_spf_2","norm","wt","spf","2","WT_SPF"
"19","abundance_norm_aso_spf_1","norm","aso","spf","1","ASO_SPF"
"20","abundance_norm_aso_spf_2","norm","aso","spf","2","ASO_SPF"
"21","abundance_norm_aso_spf_3","norm","aso","spf","3","ASO_SPF"
"22","abundance_norm_wt_spf_3","norm","wt","spf","3","WT_SPF"
"23","abundance_norm_aso_spf_4","norm","aso","spf","4","ASO_SPF"
"24","abundance_norm_wt_spf_4","norm","wt","spf","4","WT_SPF"
"25","abundance_norm_wt_gf_1","norm","wt","gf","1","WT_GF"
"26","abundance_norm_wt_gf_2","norm","wt","gf","2","WT_GF"
"27","abundance_norm_wt_gf_3","norm","wt","gf","3","WT_GF"
"28","abundance_norm_wt_gf_4","norm","wt","gf","4","WT_GF"
"29","abundance_norm_aso_gf_1","norm","aso","gf","1","ASO_GF"
"30","abundance_norm_aso_gf_2","norm","aso","gf","2","ASO_GF"
"31","abundance_norm_aso_gf_3","norm","aso","gf","3","ASO_GF"
"32","abundance_norm_aso_gf_4","norm","aso","gf","4","ASO_GF"
"33","abundance_scaled_wt_spf_1","scaled","wt","spf","1","WT_SPF"
"34","abundance_scaled_wt_spf_2","scaled","wt","spf","2","WT_SPF"
"35","abundance_scaled_aso_spf_1","scaled","aso","spf","1","ASO_SPF"
"36","abundance_scaled_aso_spf_2","scaled","aso","spf","2","ASO_SPF"
"37","abundance_scaled_aso_spf_3","scaled","aso","spf","3","ASO_SPF"
"38","abundance_scaled_wt_spf_3","scaled","wt","spf","3","WT_SPF"
"39","abundance_scaled_aso_spf_4","scaled","aso","spf","4","ASO_SPF"
"40","abundance_scaled_wt_spf_4","scaled","wt","spf","4","WT_SPF"
"41","abundance_scaled_wt_gf_1","scaled","wt","gf","1","WT_GF"
"42","abundance_scaled_wt_gf_2","scaled","wt","gf","2","WT_GF"
"43","abundance_scaled_wt_gf_3","scaled","wt","gf","3","WT_GF"
"44","abundance_scaled_wt_gf_4","scaled","wt","gf","4","WT_GF"
"45","abundance_scaled_aso_gf_1","scaled","aso","gf","1","ASO_GF"
"46","abundance_scaled_aso_gf_2","scaled","aso","gf","2","ASO_GF"
"47","abundance_scaled_aso_gf_3","scaled","aso","gf","3","ASO_GF"
"48","abundance_scaled_aso_gf_4","scaled","aso","gf","4","ASO_GF"
